Time (h),G1,eS,S/G2/M
0,122,43,81
0.25,122,44,74
0.5,125,42,83
0.75,132,40,78
1,124,51,74
1.25,121,52,76
1.5,124,52,74
1.75,129,45,74
2,130,45,84
2.25,132,43,82
2.5,137,45,74
2.75,141,48,79
3,147,45,82
3.25,148,49,77
3.5,147,53,82
3.75,146,52,83
4,145,48,87
4.25,147,49,84
4.5,141,53,86
4.75,151,48,88
5,145,54,80
5.25,147,54,88
5.5,149,56,91
5.75,150,50,78
6,147,56,70
6.25,145,58,77
6.5,152,61,71
6.75,154,58,73
7,167,56,78
7.25,154,55,81
7.5,165,56,80
7.75,169,55,83
8,165,60,83
8.25,180,50,87
8.5,179,52,81
8.75,174,60,80
9,174,60,81
9.25,170,61,82
9.5,179,61,78
9.75,184,59,75
10,177,67,79
10.25,174,64,80
10.5,172,64,82
10.75,177,64,83
11,182,63,82
11.25,173,66,80
11.5,174,71,82
11.75,177,70,85
12,172,68,89
12.25,184,70,81
12.5,178,74,86
12.75,187,74,79
13,192,68,87
13.25,184,73,84
13.5,188,72,88
13.75,187,74,89
14,189,67,94
14.25,184,73,89
14.5,184,74,92
14.75,185,75,93
15,185,78,99
15.25,181,74,108
15.5,192,65,106
15.75,175,76,114
16,190,71,110
16.25,192,71,111
16.5,187,71,114
16.75,183,72,117
17,186,68,114
17.25,191,69,110
17.5,188,71,110
17.75,194,70,106
18,197,70,116
18.25,199,73,109
18.5,196,78,107
18.75,202,70,109
19,199,74,109
19.25,199,72,111
19.5,200,75,109
19.75,204,69,121
20,210,71,113
20.25,207,71,117
20.5,210,64,116
20.75,212,67,117
21,207,75,111
21.25,217,76,117
21.5,218,81,112
21.75,222,78,116
22,215,82,118
22.25,213,86,112
22.5,226,79,112
22.75,222,81,108
23,222,83,107
23.25,233,77,113
23.5,242,73,123
23.75,243,78,116
24,239,77,112
24.25,247,74,111
24.5,238,83,112
24.75,243,82,113
25,249,76,116
25.25,260,78,115
25.5,266,74,112
25.75,260,82,118
26,264,87,108
26.25,265,84,103
26.5,264,89,109
26.75,275,85,110
27,265,94,105
27.25,272,91,101
27.5,275,93,105
27.75,280,87,111
28,277,97,92
28.25,283,87,89
28.5,290,84,97
28.75,291,84,91
29,277,91,93
29.25,289,96,92
29.5,295,96,89
29.75,287,99,94
30,304,89,90
30.25,295,98,95
30.5,322,88,99
30.75,317,94,94
31,326,87,97
31.25,326,90,89
31.5,340,88,91
31.75,330,95,91
32,326,107,89
32.25,318,100,91
32.5,315,106,94
32.75,319,99,92
33,328,96,91
33.25,325,94,96
33.5,329,97,95
33.75,318,106,101
34,332,96,105
34.25,330,97,94
34.5,333,101,96
34.75,332,106,97
35,346,94,95
35.25,340,107,91
35.5,337,112,89
35.75,333,110,93
36,356,101,90
36.25,351,109,92
36.5,350,107,86
36.75,358,106,86
37,351,115,86
37.25,355,114,88
37.5,343,132,87
37.75,363,116,85
38,358,125,85
38.25,365,122,88
38.5,363,125,87
38.75,354,126,80
39,354,139,82
39.25,351,137,86
39.5,356,131,97
39.75,354,133,95
40,352,135,85
40.25,357,135,90
40.5,341,144,91
40.75,356,137,95
41,346,148,91
41.25,341,152,95
41.5,348,147,101
41.75,345,152,98
42,343,156,102
42.25,347,153,101
42.5,334,165,99
42.75,333,170,95
43,337,161,102
43.25,351,151,104
43.5,340,162,102
43.75,347,157,107
44,340,169,101
44.25,340,167,100
44.5,337,167,108
44.75,332,171,100
45,336,169,96
45.25,341,167,104
45.5,351,164,101
45.75,333,176,102
46,344,170,105
46.25,339,184,108
46.5,342,178,109
46.75,346,180,112
47,346,176,108
47.25,347,175,112
47.5,355,174,109
47.75,358,178,108
