Time (h),G1,eS,S/G2/M
0,261,166,72
0.25,266,170,74
0.5,273,176,78
0.75,267,184,77
1,271,188,71
1.25,268,197,74
1.5,267,201,72
1.75,255,216,70
2,246,228,72
2.25,244,235,77
2.5,228,238,87
2.75,229,244,87
3,237,243,91
3.25,235,241,96
3.5,230,244,98
3.75,224,254,104
4,209,256,110
4.25,204,261,119
4.5,202,269,121
4.75,195,269,129
5,197,274,142
5.25,182,284,144
5.5,181,291,144
5.75,181,278,159
6,161,289,156
6.25,177,270,171
6.5,162,273,174
6.75,169,272,167
7,148,275,178
7.25,174,257,182
7.5,159,260,191
7.75,171,257,183
8,165,258,194
8.25,173,260,187
8.5,179,259,192
8.75,183,247,200
9,189,243,196
9.25,204,241,205
9.5,215,245,205
9.75,214,248,210
10,220,249,205
10.25,223,239,218
10.5,251,242,206
10.75,261,234,209
11,268,227,211
11.25,285,224,214
11.5,278,227,211
11.75,296,215,208
12,305,221,207
12.25,320,223,200
12.5,332,216,212
12.75,342,220,203
13,361,222,197
13.25,363,228,187
13.5,372,236,189
13.75,393,228,181
14,383,241,183
14.25,399,245,177
14.5,410,255,176
14.75,421,260,181
15,434,262,186
15.25,434,276,169
15.5,441,293,162
15.75,439,294,160
16,461,294,152
16.25,466,295,151
16.5,457,312,158
16.75,483,303,163
17,479,324,164
17.25,483,342,147
17.5,486,351,154
17.75,488,371,144
18,485,373,140
18.25,496,375,140
18.5,502,387,143
18.75,516,384,153
19,513,398,157
19.25,519,417,162
19.5,509,426,169
19.75,494,443,173
20,498,457,170
20.25,492,465,177
20.5,470,492,176
20.75,472,490,185
21,454,515,188
21.25,456,524,190
21.5,442,538,191
21.75,434,541,202
22,415,559,203
22.25,422,555,212
22.5,411,561,228
22.75,399,586,225
23,414,574,233
23.25,397,577,243
23.5,391,575,246
23.75,386,587,251
24,398,578,255
24.25,394,570,269
24.5,376,591,260
24.75,388,579,285
25,383,589,279
25.25,408,576,285
25.5,404,577,285
25.75,412,581,283
26,418,583,291
26.25,435,578,291
26.5,444,566,307
26.75,446,560,308
27,459,540,318
27.25,475,541,303
27.5,474,557,290
27.75,502,565,291
28,521,549,300
28.25,543,540,307
28.5,571,541,291
28.75,570,535,295
29,606,540,293
29.25,630,520,317
29.5,664,513,316
29.75,658,505,318
30,697,510,309
30.25,686,505,326
30.5,721,501,323
30.75,702,506,339
31,753,490,329
31.25,741,504,318
31.5,765,499,323
31.75,773,507,311
32,813,503,319
32.25,834,507,318
32.5,854,520,316
32.75,858,533,320
33,854,533,330
33.25,868,560,317
33.5,868,587,298
33.75,883,582,318
34,880,605,303
34.25,887,618,284
34.5,907,622,293
34.75,899,639,282
35,900,659,288
35.25,916,668,274
35.5,934,676,286
35.75,955,670,307
36,965,689,301
36.25,956,712,310
36.5,955,724,318
36.75,971,720,318
37,969,736,303
37.25,964,759,303
37.5,978,757,303
37.75,970,781,310
38,943,792,329
38.25,946,789,338
38.5,930,822,342
38.75,911,824,364
39,930,829,381
39.25,916,854,392
39.5,914,874,383
39.75,918,877,409
40,887,904,407
40.25,899,902,415
40.5,878,906,451
40.75,886,908,451
41,852,942,441
41.25,830,932,465
41.5,838,936,465
41.75,839,923,501
42,832,940,497
42.25,831,960,486
42.5,847,929,511
42.75,839,938,525
43,850,931,521
43.25,868,929,520
43.5,874,922,549
43.75,899,908,542
44,917,907,551
44.25,939,912,548
44.5,1004,838,628
44.75,1009,844,647
45,971,955,528
45.25,983,953,542
45.5,1012,936,561
45.75,1036,955,531
46,1056,914,559
46.25,1114,921,553
46.5,1101,953,554
46.75,1124,945,547
47,1148,943,530
47.25,1184,910,552
47.5,1209,921,553
47.75,1220,903,563
