Time (h),G1,eS,S/G2/M
0,157,162,84
0.25,155,166,91
0.5,155,163,93
0.75,162,161,96
1,161,164,91
1.25,155,167,92
1.5,149,173,93
1.75,156,165,102
2,146,176,96
2.25,154,170,110
2.5,151,168,115
2.75,147,169,114
3,142,174,121
3.25,143,169,124
3.5,142,173,127
3.75,136,180,123
4,149,177,126
4.25,156,163,128
4.5,155,160,133
4.75,146,171,127
5,146,167,132
5.25,156,161,141
5.5,155,162,143
5.75,158,162,145
6,153,162,150
6.25,159,161,145
6.5,149,157,162
6.75,160,154,159
7,170,148,168
7.25,164,156,153
7.5,172,155,155
7.75,175,157,159
8,176,156,161
8.25,173,160,162
8.5,179,162,157
8.75,202,159,151
9,197,157,162
9.25,208,154,164
9.5,214,159,159
9.75,213,161,157
10,229,160,147
10.25,230,150,158
10.5,249,147,157
10.75,242,156,147
11,252,158,148
11.25,261,158,139
11.5,271,155,136
11.75,263,168,132
12,284,172,125
12.25,287,177,127
12.5,297,184,120
12.75,312,185,122
13,319,190,127
13.25,330,191,125
13.5,327,199,125
13.75,332,211,117
14,349,215,113
14.25,347,219,113
14.5,355,220,116
14.75,353,232,110
15,359,236,109
15.25,347,243,115
15.5,360,245,111
15.75,363,251,118
16,364,265,113
16.25,356,281,113
16.5,369,275,116
16.75,356,284,115
17,361,291,113
17.25,335,321,113
17.5,343,323,107
17.75,351,320,126
18,331,345,119
18.25,332,349,121
18.5,333,353,127
18.75,343,340,142
19,347,349,141
19.25,328,366,141
19.5,336,356,146
19.75,337,348,158
20,335,354,163
20.25,332,368,162
20.5,316,374,173
20.75,311,375,170
21,308,372,182
21.25,303,370,186
21.5,313,363,191
21.75,308,375,187
22,297,375,202
22.25,306,381,200
22.5,311,387,204
22.75,320,367,196
23,319,375,204
23.25,316,387,200
23.5,320,387,208
23.75,311,382,223
24,304,393,226
24.25,326,387,222
24.5,331,391,215
24.75,333,386,226
25,342,391,213
25.25,329,382,230
25.5,322,388,230
25.75,332,399,219
26,343,396,234
26.25,364,382,229
26.5,374,387,230
26.75,394,381,237
27,421,377,235
27.25,421,375,228
27.5,425,376,226
27.75,446,376,222
28,463,365,232
28.25,483,363,228
28.5,503,357,234
28.75,518,362,234
29,554,367,224
29.25,577,356,225
29.5,560,381,216
29.75,583,371,225
30,586,391,207
30.25,592,385,221
30.5,601,391,226
30.75,621,380,214
31,648,379,220
31.25,644,399,207
31.5,662,381,235
31.75,658,397,213
32,675,410,201
32.25,683,421,203
32.5,688,421,222
32.75,689,423,220
33,677,462,204
33.25,696,444,218
33.5,666,465,218
33.75,688,467,238
34,686,476,236
34.25,689,489,230
34.5,684,493,237
34.75,694,518,229
35,687,523,245
35.25,682,537,241
35.5,692,558,226
35.75,699,556,247
36,678,576,252
36.25,684,587,253
36.5,671,588,269
36.75,656,600,263
37,654,615,270
37.25,652,629,286
37.5,640,629,302
37.75,651,632,299
38,647,639,299
38.25,648,649,303
38.5,666,641,309
38.75,657,641,308
39,657,660,312
39.25,653,653,331
39.5,661,651,340
39.75,646,684,327
40,641,699,331
40.25,654,675,340
40.5,663,685,338
40.75,674,671,359
41,664,685,362
41.25,673,684,358
41.5,691,678,388
41.75,737,620,526
42,772,576,662
42.25,789,577,637
42.5,802,562,668
42.75,731,678,425
43,732,678,416
43.25,754,677,418
43.5,750,663,430
43.75,753,681,431
44,768,684,416
44.25,784,661,413
44.5,829,655,426
44.75,844,663,423
45,828,667,425
45.25,850,668,428
45.5,857,680,434
45.75,894,673,442
46,913,677,432
46.25,941,676,427
46.5,944,696,413
46.75,1008,689,428
47,1016,690,429
47.25,987,704,430
47.5,1012,695,416
47.75,1036,709,408
