Time (h),G1,eS,S/G2/M
0,139,87,157
0.25,145,92,139
0.5,144,92,149
0.75,133,91,153
1,137,91,155
1.25,140,83,167
1.5,135,88,159
1.75,133,101,155
2,127,95,164
2.25,131,93,168
2.5,136,92,167
2.75,119,108,174
3,128,99,176
3.25,143,95,179
3.5,114,101,190
3.75,110,105,178
4,118,112,171
4.25,115,109,171
4.5,119,113,183
4.75,123,107,188
5,118,102,189
5.25,122,106,201
5.5,116,112,190
5.75,114,112,188
6,108,116,188
6.25,123,114,187
6.5,106,117,199
6.75,108,110,195
7,108,109,202
7.25,108,115,187
7.5,106,115,197
7.75,114,110,205
8,112,111,198
8.25,118,95,214
8.5,114,108,199
8.75,121,97,211
9,110,103,212
9.25,122,94,225
9.5,107,102,224
9.75,122,80,225
10,120,91,214
10.25,135,80,216
10.5,124,85,217
10.75,130,80,215
11,132,73,231
11.25,118,78,221
11.5,141,75,223
11.75,149,68,235
12,139,68,224
12.25,148,68,240
12.5,158,65,232
12.75,148,73,230
13,145,74,225
13.25,153,77,222
13.5,152,73,231
13.75,150,75,232
14,157,75,215
14.25,154,83,227
14.5,152,85,211
14.75,161,76,219
15,165,78,229
15.25,157,84,213
15.5,171,73,210
15.75,166,73,223
16,185,70,225
16.25,180,67,237
16.5,179,68,235
16.75,184,67,239
17,185,77,218
17.25,192,73,239
17.5,199,80,244
17.75,193,78,247
18,204,75,242
18.25,202,85,233
18.5,209,88,220
18.75,202,82,227
19,200,100,239
19.25,209,96,221
19.5,198,100,222
19.75,218,101,222
20,228,92,231
20.25,230,102,230
20.5,233,96,224
20.75,236,91,227
21,227,99,221
21.25,223,106,228
21.5,237,105,230
21.75,240,106,234
22,237,111,236
22.25,234,114,244
22.5,223,114,226
22.75,235,110,237
23,221,112,256
23.25,214,128,233
23.5,232,117,246
23.75,230,126,230
24,232,125,228
24.25,242,127,228
24.5,247,132,237
24.75,236,133,222
25,242,131,236
25.25,245,135,236
25.5,233,139,237
25.75,236,134,241
26,237,143,243
26.25,231,149,239
26.5,225,160,231
26.75,234,149,244
27,215,166,244
27.25,225,158,246
27.5,210,176,234
27.75,215,169,249
28,229,159,249
28.25,233,159,247
28.5,235,153,254
28.75,235,151,268
29,245,153,266
29.25,239,148,274
29.5,239,155,277
29.75,243,154,269
30,231,153,283
30.25,238,148,286
30.5,250,153,279
30.75,232,162,279
31,244,154,287
31.25,253,146,277
31.5,238,157,280
31.75,235,154,281
32,245,156,305
32.25,247,152,298
32.5,247,155,293
32.75,249,152,300
33,245,156,296
33.25,242,156,311
33.5,245,140,314
33.75,230,155,309
34,238,148,322
34.25,241,155,329
34.5,252,153,296
34.75,241,164,318
35,243,161,305
35.25,240,160,312
35.5,250,168,300
35.75,254,164,314
36,229,171,316
36.25,240,168,296
36.5,254,158,316
36.75,240,162,308
37,249,167,327
37.25,245,168,307
37.5,250,170,314
37.75,261,164,309
38,260,163,315
38.25,264,170,312
38.5,247,188,301
38.75,283,169,312
39,273,173,317
39.25,285,174,297
39.5,281,183,322
39.75,291,174,309
40,299,166,307
40.25,285,178,323
40.5,293,179,306
40.75,286,190,304
41,302,162,326
41.25,316,158,325
41.5,315,166,319
41.75,310,167,321
42,311,180,319
42.25,328,164,329
42.5,345,163,347
42.75,337,164,328
43,325,169,323
43.25,335,160,342
43.5,329,177,341
43.75,347,172,351
44,347,172,356
44.25,333,182,333
44.5,325,181,330
44.75,339,176,337
45,339,188,334
45.25,328,208,336
45.5,330,201,335
45.75,315,211,337
46,340,200,348
46.25,344,208,346
46.5,357,184,362
46.75,371,196,347
47,371,188,358
47.25,375,187,376
47.5,371,195,364
47.75,376,202,344
